,KABKOT,month,year,longitude,latitude,pm10,time
0,JAKARTA BARAT,1,2020,106.74999999999996,-6.158333333333336,56.164344301260485,2020-01-01
3,JAKARTA BARAT,2,2020,106.74999999999996,-6.158333333333336,55.08045919120079,2020-02-01
6,JAKARTA BARAT,3,2020,106.74999999999996,-6.158333333333336,66.3666103445983,2020-03-01
9,JAKARTA BARAT,4,2020,106.74999999999996,-6.158333333333336,72.526713399412,2020-04-01
12,JAKARTA BARAT,5,2020,106.74999999999996,-6.158333333333336,79.21048668140728,2020-05-01
15,JAKARTA BARAT,6,2020,106.74999999999996,-6.158333333333336,84.53908886312765,2020-06-01
18,JAKARTA BARAT,7,2020,106.74999999999996,-6.158333333333336,87.06696933400202,2020-07-01
21,JAKARTA BARAT,8,2020,106.74999999999996,-6.158333333333336,82.34101898689083,2020-08-01
24,JAKARTA BARAT,9,2020,106.74999999999996,-6.158333333333336,77.91499028581627,2020-09-01
27,JAKARTA BARAT,10,2020,106.74999999999996,-6.158333333333336,81.08354135277114,2020-10-01
30,JAKARTA BARAT,11,2020,106.74999999999996,-6.158333333333336,70.10274996943592,2020-11-01
33,JAKARTA BARAT,12,2020,106.74999999999996,-6.158333333333336,43.20462240402313,2020-12-01
36,JAKARTA PUSAT,1,2020,106.84999999999997,-6.200000000000003,58.03606679677404,2020-01-01
39,JAKARTA PUSAT,2,2020,106.84999999999997,-6.200000000000003,56.72672447332196,2020-02-01
42,JAKARTA PUSAT,3,2020,106.84999999999997,-6.200000000000003,68.64378698641869,2020-03-01
45,JAKARTA PUSAT,4,2020,106.84999999999997,-6.200000000000003,74.58419633602934,2020-04-01
48,JAKARTA PUSAT,5,2020,106.84999999999997,-6.200000000000003,81.01211465809037,2020-05-01
51,JAKARTA PUSAT,6,2020,106.84999999999997,-6.200000000000003,85.73914338209602,2020-06-01
54,JAKARTA PUSAT,7,2020,106.84999999999997,-6.200000000000003,87.68737679076996,2020-07-01
57,JAKARTA PUSAT,8,2020,106.84999999999997,-6.200000000000003,82.63226076129314,2020-08-01
60,JAKARTA PUSAT,9,2020,106.84999999999997,-6.200000000000003,78.31073855158044,2020-09-01
63,JAKARTA PUSAT,10,2020,106.84999999999997,-6.200000000000003,81.80891537534869,2020-10-01
66,JAKARTA PUSAT,11,2020,106.84999999999997,-6.200000000000003,71.72794462680629,2020-11-01
69,JAKARTA PUSAT,12,2020,106.84999999999997,-6.200000000000003,45.36880590322258,2020-12-01
72,JAKARTA SELATAN,1,2020,106.8083333333333,-6.283333333333336,60.38526644146368,2020-01-01
75,JAKARTA SELATAN,2,2020,106.8083333333333,-6.283333333333336,59.470513348437635,2020-02-01
78,JAKARTA SELATAN,3,2020,106.8083333333333,-6.283333333333336,71.77435969513759,2020-03-01
81,JAKARTA SELATAN,4,2020,106.8083333333333,-6.283333333333336,78.51534342684398,2020-04-01
84,JAKARTA SELATAN,5,2020,106.8083333333333,-6.283333333333336,85.94158546297179,2020-05-01
87,JAKARTA SELATAN,6,2020,106.8083333333333,-6.283333333333336,91.13772840605289,2020-06-01
90,JAKARTA SELATAN,7,2020,106.8083333333333,-6.283333333333336,93.09944003869576,2020-07-01
93,JAKARTA SELATAN,8,2020,106.8083333333333,-6.283333333333336,87.89953724392588,2020-08-01
96,JAKARTA SELATAN,9,2020,106.8083333333333,-6.283333333333336,81.72327157712233,2020-09-01
99,JAKARTA SELATAN,10,2020,106.8083333333333,-6.283333333333336,84.41911898909292,2020-10-01
102,JAKARTA SELATAN,11,2020,106.8083333333333,-6.283333333333336,74.81663949019787,2020-11-01
105,JAKARTA SELATAN,12,2020,106.8083333333333,-6.283333333333336,45.92065737138679,2020-12-01
108,JAKARTA TIMUR,1,2020,106.90999999999997,-6.2600000000000025,59.493460319970474,2020-01-01
111,JAKARTA TIMUR,2,2020,106.90999999999997,-6.2600000000000025,58.13986718550298,2020-02-01
114,JAKARTA TIMUR,3,2020,106.90999999999997,-6.2600000000000025,70.30439611573559,2020-03-01
117,JAKARTA TIMUR,4,2020,106.90999999999997,-6.2600000000000025,76.25089885957989,2020-04-01
120,JAKARTA TIMUR,5,2020,106.90999999999997,-6.2600000000000025,82.51428927034601,2020-05-01
123,JAKARTA TIMUR,6,2020,106.90999999999997,-6.2600000000000025,86.9482508131621,2020-06-01
126,JAKARTA TIMUR,7,2020,106.90999999999997,-6.2600000000000025,88.31299803091676,2020-07-01
129,JAKARTA TIMUR,8,2020,106.90999999999997,-6.2600000000000025,83.02734177097852,2020-08-01
132,JAKARTA TIMUR,9,2020,106.90999999999997,-6.2600000000000025,78.17143776467496,2020-09-01
135,JAKARTA TIMUR,10,2020,106.90999999999997,-6.2600000000000025,81.58668887148329,2020-10-01
138,JAKARTA TIMUR,11,2020,106.90999999999997,-6.2600000000000025,72.64155771509988,2020-11-01
141,JAKARTA TIMUR,12,2020,106.90999999999997,-6.2600000000000025,46.863079107061665,2020-12-01
144,JAKARTA UTARA,1,2020,106.89166666666664,-6.1250000000000036,54.94199962146576,2020-01-01
147,JAKARTA UTARA,2,2020,106.89166666666664,-6.1250000000000036,53.38434213205344,2020-02-01
150,JAKARTA UTARA,3,2020,106.89166666666664,-6.1250000000000036,64.47487591327392,2020-03-01
153,JAKARTA UTARA,4,2020,106.89166666666664,-6.1250000000000036,69.68698273842307,2020-04-01
156,JAKARTA UTARA,5,2020,106.89166666666664,-6.1250000000000036,75.06842410107545,2020-05-01
159,JAKARTA UTARA,6,2020,106.89166666666664,-6.1250000000000036,79.42578252577114,2020-06-01
162,JAKARTA UTARA,7,2020,106.89166666666664,-6.1250000000000036,81.31018493963428,2020-07-01
165,JAKARTA UTARA,8,2020,106.89166666666664,-6.1250000000000036,76.43820423434687,2020-08-01
168,JAKARTA UTARA,9,2020,106.89166666666664,-6.1250000000000036,73.61267598050812,2020-09-01
171,JAKARTA UTARA,10,2020,106.89166666666664,-6.1250000000000036,77.80477768232932,2020-10-01
174,JAKARTA UTARA,11,2020,106.89166666666664,-6.1250000000000036,67.50331472657841,2020-11-01
177,JAKARTA UTARA,12,2020,106.89166666666664,-6.1250000000000036,44.226030779309774,2020-12-01
1,JAKARTA BARAT,1,2021,106.74999999999996,-6.158333333333336,55.75445774693304,2021-01-01
4,JAKARTA BARAT,2,2021,106.74999999999996,-6.158333333333336,53.21809154147467,2021-02-01
7,JAKARTA BARAT,3,2021,106.74999999999996,-6.158333333333336,65.53504682729368,2021-03-01
10,JAKARTA BARAT,4,2021,106.74999999999996,-6.158333333333336,84.90175942633753,2021-04-01
13,JAKARTA BARAT,5,2021,106.74999999999996,-6.158333333333336,91.32841936339766,2021-05-01
16,JAKARTA BARAT,6,2021,106.74999999999996,-6.158333333333336,84.52392298371088,2021-06-01
19,JAKARTA BARAT,7,2021,106.74999999999996,-6.158333333333336,89.35073564586592,2021-07-01
22,JAKARTA BARAT,8,2021,106.74999999999996,-6.158333333333336,90.28592600065168,2021-08-01
25,JAKARTA BARAT,9,2021,106.74999999999996,-6.158333333333336,81.07610688096807,2021-09-01
28,JAKARTA BARAT,10,2021,106.74999999999996,-6.158333333333336,85.21299948919585,2021-10-01
31,JAKARTA BARAT,11,2021,106.74999999999996,-6.158333333333336,58.225237136412865,2021-11-01
34,JAKARTA BARAT,12,2021,106.74999999999996,-6.158333333333336,60.82036476821333,2021-12-01
37,JAKARTA PUSAT,1,2021,106.84999999999997,-6.200000000000003,57.73704743935091,2021-01-01
40,JAKARTA PUSAT,2,2021,106.84999999999997,-6.200000000000003,54.78848818777738,2021-02-01
43,JAKARTA PUSAT,3,2021,106.84999999999997,-6.200000000000003,68.22575603138147,2021-03-01
46,JAKARTA PUSAT,4,2021,106.84999999999997,-6.200000000000003,87.15647808799142,2021-04-01
49,JAKARTA PUSAT,5,2021,106.84999999999997,-6.200000000000003,92.68933562604464,2021-05-01
52,JAKARTA PUSAT,6,2021,106.84999999999997,-6.200000000000003,85.93839268655886,2021-06-01
55,JAKARTA PUSAT,7,2021,106.84999999999997,-6.200000000000003,90.0034801295173,2021-07-01
58,JAKARTA PUSAT,8,2021,106.84999999999997,-6.200000000000003,90.27131435838685,2021-08-01
61,JAKARTA PUSAT,9,2021,106.84999999999997,-6.200000000000003,81.52621193839269,2021-09-01
64,JAKARTA PUSAT,10,2021,106.84999999999997,-6.200000000000003,86.23043104449945,2021-10-01
67,JAKARTA PUSAT,11,2021,106.84999999999997,-6.200000000000003,60.75646613368221,2021-11-01
70,JAKARTA PUSAT,12,2021,106.84999999999997,-6.200000000000003,63.3404685501658,2021-12-01
73,JAKARTA SELATAN,1,2021,106.8083333333333,-6.283333333333336,60.0138294861963,2021-01-01
