,KABKOT,month,year,longitude,latitude,so2,time
0,JAKARTA BARAT,1,2020,106.74999999999996,-6.158333333333336,75.2853756112827,2020-01-01
3,JAKARTA BARAT,2,2020,106.74999999999996,-6.158333333333336,69.02909745096015,2020-02-01
6,JAKARTA BARAT,3,2020,106.74999999999996,-6.158333333333336,91.86351256113828,2020-03-01
9,JAKARTA BARAT,4,2020,106.74999999999996,-6.158333333333336,107.26338834994029,2020-04-01
12,JAKARTA BARAT,5,2020,106.74999999999996,-6.158333333333336,120.65591727369691,2020-05-01
15,JAKARTA BARAT,6,2020,106.74999999999996,-6.158333333333336,117.40165610958896,2020-06-01
18,JAKARTA BARAT,7,2020,106.74999999999996,-6.158333333333336,123.68288403027317,2020-07-01
21,JAKARTA BARAT,8,2020,106.74999999999996,-6.158333333333336,109.30926066719779,2020-08-01
24,JAKARTA BARAT,9,2020,106.74999999999996,-6.158333333333336,103.73900376715737,2020-09-01
27,JAKARTA BARAT,10,2020,106.74999999999996,-6.158333333333336,101.41904027737628,2020-10-01
30,JAKARTA BARAT,11,2020,106.74999999999996,-6.158333333333336,93.93872670739114,2020-11-01
33,JAKARTA BARAT,12,2020,106.74999999999996,-6.158333333333336,66.66677635174916,2020-12-01
36,JAKARTA PUSAT,1,2020,106.84999999999997,-6.200000000000003,77.96997325340837,2020-01-01
39,JAKARTA PUSAT,2,2020,106.84999999999997,-6.200000000000003,71.04565102373893,2020-02-01
42,JAKARTA PUSAT,3,2020,106.84999999999997,-6.200000000000003,94.71558141977368,2020-03-01
45,JAKARTA PUSAT,4,2020,106.84999999999997,-6.200000000000003,110.11991424835036,2020-04-01
48,JAKARTA PUSAT,5,2020,106.84999999999997,-6.200000000000003,123.21144407963178,2020-05-01
51,JAKARTA PUSAT,6,2020,106.84999999999997,-6.200000000000003,119.42390271559358,2020-06-01
54,JAKARTA PUSAT,7,2020,106.84999999999997,-6.200000000000003,125.37349110211252,2020-07-01
57,JAKARTA PUSAT,8,2020,106.84999999999997,-6.200000000000003,110.11139054441604,2020-08-01
60,JAKARTA PUSAT,9,2020,106.84999999999997,-6.200000000000003,104.71764834700284,2020-09-01
63,JAKARTA PUSAT,10,2020,106.84999999999997,-6.200000000000003,102.5518313325,2020-10-01
66,JAKARTA PUSAT,11,2020,106.84999999999997,-6.200000000000003,96.03610532836542,2020-11-01
69,JAKARTA PUSAT,12,2020,106.84999999999997,-6.200000000000003,70.0270445317249,2020-12-01
72,JAKARTA SELATAN,1,2020,106.8083333333333,-6.283333333333336,83.32883055629675,2020-01-01
75,JAKARTA SELATAN,2,2020,106.8083333333333,-6.283333333333336,76.26642316130055,2020-02-01
78,JAKARTA SELATAN,3,2020,106.8083333333333,-6.283333333333336,101.1248040484599,2020-03-01
81,JAKARTA SELATAN,4,2020,106.8083333333333,-6.283333333333336,118.31439390011319,2020-04-01
84,JAKARTA SELATAN,5,2020,106.8083333333333,-6.283333333333336,132.53259573664664,2020-05-01
87,JAKARTA SELATAN,6,2020,106.8083333333333,-6.283333333333336,128.82121321903784,2020-06-01
90,JAKARTA SELATAN,7,2020,106.8083333333333,-6.283333333333336,134.93089633402346,2020-07-01
93,JAKARTA SELATAN,8,2020,106.8083333333333,-6.283333333333336,118.82724426002198,2020-08-01
96,JAKARTA SELATAN,9,2020,106.8083333333333,-6.283333333333336,111.08139417905012,2020-09-01
99,JAKARTA SELATAN,10,2020,106.8083333333333,-6.283333333333336,108.09977926603902,2020-10-01
102,JAKARTA SELATAN,11,2020,106.8083333333333,-6.283333333333336,101.98471722707427,2020-11-01
105,JAKARTA SELATAN,12,2020,106.8083333333333,-6.283333333333336,73.23296545061125,2020-12-01
108,JAKARTA TIMUR,1,2020,106.90999999999997,-6.2600000000000025,80.18682892968192,2020-01-01
111,JAKARTA TIMUR,2,2020,106.90999999999997,-6.2600000000000025,72.80666437509461,2020-02-01
114,JAKARTA TIMUR,3,2020,106.90999999999997,-6.2600000000000025,96.86559501107804,2020-03-01
117,JAKARTA TIMUR,4,2020,106.90999999999997,-6.2600000000000025,112.63181257147127,2020-04-01
120,JAKARTA TIMUR,5,2020,106.90999999999997,-6.2600000000000025,125.71966407197496,2020-05-01
123,JAKARTA TIMUR,6,2020,106.90999999999997,-6.2600000000000025,121.7551821173663,2020-06-01
126,JAKARTA TIMUR,7,2020,106.90999999999997,-6.2600000000000025,127.27884484281579,2020-07-01
129,JAKARTA TIMUR,8,2020,106.90999999999997,-6.2600000000000025,111.15915538222323,2020-08-01
132,JAKARTA TIMUR,9,2020,106.90999999999997,-6.2600000000000025,105.05230805536374,2020-09-01
135,JAKARTA TIMUR,10,2020,106.90999999999997,-6.2600000000000025,102.71222844233405,2020-10-01
138,JAKARTA TIMUR,11,2020,106.90999999999997,-6.2600000000000025,97.40629493213419,2020-11-01
141,JAKARTA TIMUR,12,2020,106.90999999999997,-6.2600000000000025,72.39164158073413,2020-12-01
144,JAKARTA UTARA,1,2020,106.89166666666664,-6.1250000000000036,71.38696336578234,2020-01-01
147,JAKARTA UTARA,2,2020,106.89166666666664,-6.1250000000000036,64.82588919174768,2020-02-01
150,JAKARTA UTARA,3,2020,106.89166666666664,-6.1250000000000036,86.69270018061535,2020-03-01
153,JAKARTA UTARA,4,2020,106.89166666666664,-6.1250000000000036,100.39067441136518,2020-04-01
156,JAKARTA UTARA,5,2020,106.89166666666664,-6.1250000000000036,112.3332339332333,2020-05-01
159,JAKARTA UTARA,6,2020,106.89166666666664,-6.1250000000000036,108.6845677757395,2020-06-01
162,JAKARTA UTARA,7,2020,106.89166666666664,-6.1250000000000036,114.25910537558418,2020-07-01
165,JAKARTA UTARA,8,2020,106.89166666666664,-6.1250000000000036,99.91082468003863,2020-08-01
168,JAKARTA UTARA,9,2020,106.89166666666664,-6.1250000000000036,96.34970763943859,2020-09-01
171,JAKARTA UTARA,10,2020,106.89166666666664,-6.1250000000000036,95.05626740932702,2020-10-01
174,JAKARTA UTARA,11,2020,106.89166666666664,-6.1250000000000036,88.4216603563849,2020-11-01
177,JAKARTA UTARA,12,2020,106.89166666666664,-6.1250000000000036,65.5286235149532,2020-12-01
1,JAKARTA BARAT,1,2021,106.74999999999996,-6.158333333333336,75.22069522163595,2021-01-01
4,JAKARTA BARAT,2,2021,106.74999999999996,-6.158333333333336,63.63983401243231,2021-02-01
7,JAKARTA BARAT,3,2021,106.74999999999996,-6.158333333333336,97.42883883112059,2021-03-01
10,JAKARTA BARAT,4,2021,106.74999999999996,-6.158333333333336,116.17627030304503,2021-04-01
13,JAKARTA BARAT,5,2021,106.74999999999996,-6.158333333333336,124.38280143809716,2021-05-01
16,JAKARTA BARAT,6,2021,106.74999999999996,-6.158333333333336,114.96838512461916,2021-06-01
19,JAKARTA BARAT,7,2021,106.74999999999996,-6.158333333333336,124.46413911152335,2021-07-01
22,JAKARTA BARAT,8,2021,106.74999999999996,-6.158333333333336,110.65654004711901,2021-08-01
25,JAKARTA BARAT,9,2021,106.74999999999996,-6.158333333333336,103.2705380737695,2021-09-01
28,JAKARTA BARAT,10,2021,106.74999999999996,-6.158333333333336,102.26936365862446,2021-10-01
31,JAKARTA BARAT,11,2021,106.74999999999996,-6.158333333333336,84.18979667895285,2021-11-01
34,JAKARTA BARAT,12,2021,106.74999999999996,-6.158333333333336,84.98990717214112,2021-12-01
37,JAKARTA PUSAT,1,2021,106.84999999999997,-6.200000000000003,78.03105310190577,2021-01-01
40,JAKARTA PUSAT,2,2021,106.84999999999997,-6.200000000000003,65.59872155035008,2021-02-01
43,JAKARTA PUSAT,3,2021,106.84999999999997,-6.200000000000003,100.70663677866652,2021-03-01
46,JAKARTA PUSAT,4,2021,106.84999999999997,-6.200000000000003,119.02659908168972,2021-04-01
49,JAKARTA PUSAT,5,2021,106.84999999999997,-6.200000000000003,126.720546186242,2021-05-01
52,JAKARTA PUSAT,6,2021,106.84999999999997,-6.200000000000003,117.10905004053744,2021-06-01
55,JAKARTA PUSAT,7,2021,106.84999999999997,-6.200000000000003,126.5226467605655,2021-07-01
