,KABKOT,month,year,longitude,latitude,tp,time
0,JAKARTA BARAT,1,2020,106.74999999999996,-6.158333333333336,14.475729682792847,2020-01-01
3,JAKARTA BARAT,2,2020,106.74999999999996,-6.158333333333336,13.69126349687543,2020-02-01
6,JAKARTA BARAT,3,2020,106.74999999999996,-6.158333333333336,11.113327058653192,2020-03-01
9,JAKARTA BARAT,4,2020,106.74999999999996,-6.158333333333336,7.677212382356436,2020-04-01
12,JAKARTA BARAT,5,2020,106.74999999999996,-6.158333333333336,5.889278029402071,2020-05-01
15,JAKARTA BARAT,6,2020,106.74999999999996,-6.158333333333336,2.050814616183473,2020-06-01
18,JAKARTA BARAT,7,2020,106.74999999999996,-6.158333333333336,1.6562249821921782,2020-07-01
21,JAKARTA BARAT,8,2020,106.74999999999996,-6.158333333333336,1.584933598836356,2020-08-01
24,JAKARTA BARAT,9,2020,106.74999999999996,-6.158333333333336,1.9451159176727912,2020-09-01
27,JAKARTA BARAT,10,2020,106.74999999999996,-6.158333333333336,6.048352299258242,2020-10-01
30,JAKARTA BARAT,11,2020,106.74999999999996,-6.158333333333336,4.9232592123249255,2020-11-01
33,JAKARTA BARAT,12,2020,106.74999999999996,-6.158333333333336,9.082674675931527,2020-12-01
36,JAKARTA PUSAT,1,2020,106.84999999999997,-6.200000000000003,15.40950819849924,2020-01-01
39,JAKARTA PUSAT,2,2020,106.84999999999997,-6.200000000000003,14.579104036092373,2020-02-01
42,JAKARTA PUSAT,3,2020,106.84999999999997,-6.200000000000003,10.993788577616272,2020-03-01
45,JAKARTA PUSAT,4,2020,106.84999999999997,-6.200000000000003,7.813130728900386,2020-04-01
48,JAKARTA PUSAT,5,2020,106.84999999999997,-6.200000000000003,6.05992265045625,2020-05-01
51,JAKARTA PUSAT,6,2020,106.84999999999997,-6.200000000000003,1.9301420450210716,2020-06-01
54,JAKARTA PUSAT,7,2020,106.84999999999997,-6.200000000000003,1.5308443456888596,2020-07-01
57,JAKARTA PUSAT,8,2020,106.84999999999997,-6.200000000000003,1.520049981773,2020-08-01
60,JAKARTA PUSAT,9,2020,106.84999999999997,-6.200000000000003,1.9501545652747367,2020-09-01
63,JAKARTA PUSAT,10,2020,106.84999999999997,-6.200000000000003,6.510780863463895,2020-10-01
66,JAKARTA PUSAT,11,2020,106.84999999999997,-6.200000000000003,5.744253322481779,2020-11-01
69,JAKARTA PUSAT,12,2020,106.84999999999997,-6.200000000000003,9.32534016668792,2020-12-01
72,JAKARTA SELATAN,1,2020,106.8083333333333,-6.283333333333336,15.172972343861574,2020-01-01
75,JAKARTA SELATAN,2,2020,106.8083333333333,-6.283333333333336,14.389887824654169,2020-02-01
78,JAKARTA SELATAN,3,2020,106.8083333333333,-6.283333333333336,11.565384734422002,2020-03-01
81,JAKARTA SELATAN,4,2020,106.8083333333333,-6.283333333333336,8.274471449355275,2020-04-01
84,JAKARTA SELATAN,5,2020,106.8083333333333,-6.283333333333336,6.054043273130912,2020-05-01
87,JAKARTA SELATAN,6,2020,106.8083333333333,-6.283333333333336,1.9616842269897805,2020-06-01
90,JAKARTA SELATAN,7,2020,106.8083333333333,-6.283333333333336,1.604005942742081,2020-07-01
93,JAKARTA SELATAN,8,2020,106.8083333333333,-6.283333333333336,1.89568813269349,2020-08-01
96,JAKARTA SELATAN,9,2020,106.8083333333333,-6.283333333333336,2.393921837210712,2020-09-01
99,JAKARTA SELATAN,10,2020,106.8083333333333,-6.283333333333336,7.755372393876375,2020-10-01
102,JAKARTA SELATAN,11,2020,106.8083333333333,-6.283333333333336,5.994430401672602,2020-11-01
105,JAKARTA SELATAN,12,2020,106.8083333333333,-6.283333333333336,9.690254895637423,2020-12-01
108,JAKARTA TIMUR,1,2020,106.90999999999997,-6.2600000000000025,16.167215347289517,2020-01-01
111,JAKARTA TIMUR,2,2020,106.90999999999997,-6.2600000000000025,15.22689788043454,2020-02-01
114,JAKARTA TIMUR,3,2020,106.90999999999997,-6.2600000000000025,11.459258146584062,2020-03-01
117,JAKARTA TIMUR,4,2020,106.90999999999997,-6.2600000000000025,8.325105130672398,2020-04-01
120,JAKARTA TIMUR,5,2020,106.90999999999997,-6.2600000000000025,6.470775246619982,2020-05-01
123,JAKARTA TIMUR,6,2020,106.90999999999997,-6.2600000000000025,1.942249692976499,2020-06-01
126,JAKARTA TIMUR,7,2020,106.90999999999997,-6.2600000000000025,1.522086508572148,2020-07-01
129,JAKARTA TIMUR,8,2020,106.90999999999997,-6.2600000000000025,1.6052805930377274,2020-08-01
132,JAKARTA TIMUR,9,2020,106.90999999999997,-6.2600000000000025,2.2886404916644443,2020-09-01
135,JAKARTA TIMUR,10,2020,106.90999999999997,-6.2600000000000025,7.478732630610494,2020-10-01
138,JAKARTA TIMUR,11,2020,106.90999999999997,-6.2600000000000025,6.641908235847561,2020-11-01
141,JAKARTA TIMUR,12,2020,106.90999999999997,-6.2600000000000025,9.701917909085713,2020-12-01
144,JAKARTA UTARA,1,2020,106.89166666666664,-6.1250000000000036,15.410698428749733,2020-01-01
147,JAKARTA UTARA,2,2020,106.89166666666664,-6.1250000000000036,14.572458118199991,2020-02-01
150,JAKARTA UTARA,3,2020,106.89166666666664,-6.1250000000000036,10.55003674700876,2020-03-01
153,JAKARTA UTARA,4,2020,106.89166666666664,-6.1250000000000036,7.5410156262417685,2020-04-01
156,JAKARTA UTARA,5,2020,106.89166666666664,-6.1250000000000036,6.261203624307982,2020-05-01
159,JAKARTA UTARA,6,2020,106.89166666666664,-6.1250000000000036,2.03261410196624,2020-06-01
162,JAKARTA UTARA,7,2020,106.89166666666664,-6.1250000000000036,1.5261613453428435,2020-07-01
165,JAKARTA UTARA,8,2020,106.89166666666664,-6.1250000000000036,1.2772236391902736,2020-08-01
168,JAKARTA UTARA,9,2020,106.89166666666664,-6.1250000000000036,1.7758747749030948,2020-09-01
171,JAKARTA UTARA,10,2020,106.89166666666664,-6.1250000000000036,5.612612813711195,2020-10-01
174,JAKARTA UTARA,11,2020,106.89166666666664,-6.1250000000000036,5.392927216986578,2020-11-01
177,JAKARTA UTARA,12,2020,106.89166666666664,-6.1250000000000036,9.142884202301442,2020-12-01
1,JAKARTA BARAT,1,2021,106.74999999999996,-6.158333333333336,10.499981592098708,2021-01-01
4,JAKARTA BARAT,2,2021,106.74999999999996,-6.158333333333336,14.319913672903626,2021-02-01
7,JAKARTA BARAT,3,2021,106.74999999999996,-6.158333333333336,7.617955124005662,2021-03-01
10,JAKARTA BARAT,4,2021,106.74999999999996,-6.158333333333336,5.2162580316265625,2021-04-01
13,JAKARTA BARAT,5,2021,106.74999999999996,-6.158333333333336,3.8307586498559503,2021-05-01
16,JAKARTA BARAT,6,2021,106.74999999999996,-6.158333333333336,4.822660274803625,2021-06-01
19,JAKARTA BARAT,7,2021,106.74999999999996,-6.158333333333336,1.5891003546615454,2021-07-01
22,JAKARTA BARAT,8,2021,106.74999999999996,-6.158333333333336,5.294272582978103,2021-08-01
25,JAKARTA BARAT,9,2021,106.74999999999996,-6.158333333333336,5.23896856233486,2021-09-01
28,JAKARTA BARAT,10,2021,106.74999999999996,-6.158333333333336,4.267153659214559,2021-10-01
31,JAKARTA BARAT,11,2021,106.74999999999996,-6.158333333333336,7.640647565325037,2021-11-01
34,JAKARTA BARAT,12,2021,106.74999999999996,-6.158333333333336,7.648300888637574,2021-12-01
37,JAKARTA PUSAT,1,2021,106.84999999999997,-6.200000000000003,10.889165177941196,2021-01-01
40,JAKARTA PUSAT,2,2021,106.84999999999997,-6.200000000000003,14.592087119817386,2021-02-01
43,JAKARTA PUSAT,3,2021,106.84999999999997,-6.200000000000003,8.138815984129714,2021-03-01
46,JAKARTA PUSAT,4,2021,106.84999999999997,-6.200000000000003,5.379415787756331,2021-04-01
49,JAKARTA PUSAT,5,2021,106.84999999999997,-6.200000000000003,3.708481527865008,2021-05-01
52,JAKARTA PUSAT,6,2021,106.84999999999997,-6.200000000000003,4.860378764569697,2021-06-01
55,JAKARTA PUSAT,7,2021,106.84999999999997,-6.200000000000003,1.562837809324224,2021-07-01
58,JAKARTA PUSAT,8,2021,106.84999999999997,-6.200000000000003,5.246378108859259,2021-08-01
61,JAKARTA PUSAT,9,2021,106.84999999999997,-6.200000000000003,5.10979820042861,2021-09-01
64,JAKARTA PUSAT,10,2021,106.84999999999997,-6.200000000000003,4.605969861149648,2021-10-01
67,JAKARTA PUSAT,11,2021,106.84999999999997,-6.200000000000003,8.711064681410397,2021-11-01
70,JAKARTA PUSAT,12,2021,106.84999999999997,-6.200000000000003,7.924561128020075,2021-12-01
73,JAKARTA SELATAN,1,2021,106.8083333333333,-6.283333333333336,11.105528101324891,2021-01-01
76,JAKARTA SELATAN,2,2021,106.8083333333333,-6.283333333333336,13.23107307155891,2021-02-01
79,JAKARTA SELATAN,3,2021,106.8083333333333,-6.283333333333336,8.64465379466594,2021-03-01
82,JAKARTA SELATAN,4,2021,106.8083333333333,-6.283333333333336,5.532641631240549,2021-04-01
85,JAKARTA SELATAN,5,2021,106.8083333333333,-6.283333333333336,4.05682766189187,2021-05-01
88,JAKARTA SELATAN,6,2021,106.8083333333333,-6.283333333333336,4.931611567735623,2021-06-01
91,JAKARTA SELATAN,7,2021,106.8083333333333,-6.283333333333336,1.5440684432784393,2021-07-01
94,JAKARTA SELATAN,8,2021,106.8083333333333,-6.283333333333336,5.851865683992853,2021-08-01
97,JAKARTA SELATAN,9,2021,106.8083333333333,-6.283333333333336,5.79701301952219,2021-09-01
100,JAKARTA SELATAN,10,2021,106.8083333333333,-6.283333333333336,4.822107125073551,2021-10-01
103,JAKARTA SELATAN,11,2021,106.8083333333333,-6.283333333333336,9.453503166635477,2021-11-01
106,JAKARTA SELATAN,12,2021,106.8083333333333,-6.283333333333336,7.86887997140474,2021-12-01
109,JAKARTA TIMUR,1,2021,106.90999999999997,-6.2600000000000025,11.346333175897453,2021-01-01
112,JAKARTA TIMUR,2,2021,106.90999999999997,-6.2600000000000025,14.170351058244345,2021-02-01
115,JAKARTA TIMUR,3,2021,106.90999999999997,-6.2600000000000025,9.007793657481432,2021-03-01
118,JAKARTA TIMUR,4,2021,106.90999999999997,-6.2600000000000025,5.7875642590223375,2021-04-01
121,JAKARTA TIMUR,5,2021,106.90999999999997,-6.2600000000000025,3.8649326786399754,2021-05-01
124,JAKARTA TIMUR,6,2021,106.90999999999997,-6.2600000000000025,5.081139743328026,2021-06-01
127,JAKARTA TIMUR,7,2021,106.90999999999997,-6.2600000000000025,1.6634921953081612,2021-07-01
130,JAKARTA TIMUR,8,2021,106.90999999999997,-6.2600000000000025,5.339120492339334,2021-08-01
133,JAKARTA TIMUR,9,2021,106.90999999999997,-6.2600000000000025,5.436276994645757,2021-09-01
136,JAKARTA TIMUR,10,2021,106.90999999999997,-6.2600000000000025,5.080208621918997,2021-10-01
139,JAKARTA TIMUR,11,2021,106.90999999999997,-6.2600000000000025,10.159353345632098,2021-11-01
142,JAKARTA TIMUR,12,2021,106.90999999999997,-6.2600000000000025,8.295285508036422,2021-12-01
145,JAKARTA UTARA,1,2021,106.89166666666664,-6.1250000000000036,10.735750676443102,2021-01-01
148,JAKARTA UTARA,2,2021,106.89166666666664,-6.1250000000000036,15.811612463245423,2021-02-01
151,JAKARTA UTARA,3,2021,106.89166666666664,-6.1250000000000036,7.718819770961914,2021-03-01
154,JAKARTA UTARA,4,2021,106.89166666666664,-6.1250000000000036,5.310250930488067,2021-04-01
157,JAKARTA UTARA,5,2021,106.89166666666664,-6.1250000000000036,3.568791927148975,2021-05-01
160,JAKARTA UTARA,6,2021,106.89166666666664,-6.1250000000000036,4.9187243233124205,2021-06-01
163,JAKARTA UTARA,7,2021,106.89166666666664,-6.1250000000000036,1.6541043172279926,2021-07-01
166,JAKARTA UTARA,8,2021,106.89166666666664,-6.1250000000000036,4.572350190331759,2021-08-01
169,JAKARTA UTARA,9,2021,106.89166666666664,-6.1250000000000036,4.857002949963134,2021-09-01
172,JAKARTA UTARA,10,2021,106.89166666666664,-6.1250000000000036,4.442771753917042,2021-10-01
175,JAKARTA UTARA,11,2021,106.89166666666664,-6.1250000000000036,8.136556434134347,2021-11-01
178,JAKARTA UTARA,12,2021,106.89166666666664,-6.1250000000000036,8.356442973017446,2021-12-01
2,JAKARTA BARAT,1,2022,106.74999999999996,-6.158333333333336,6.211204094191294,2022-01-01
5,JAKARTA BARAT,2,2022,106.74999999999996,-6.158333333333336,6.593098811184325,2022-02-01
8,JAKARTA BARAT,3,2022,106.74999999999996,-6.158333333333336,4.9302262502412315,2022-03-01
11,JAKARTA BARAT,4,2022,106.74999999999996,-6.158333333333336,5.894483961165025,2022-04-01
14,JAKARTA BARAT,5,2022,106.74999999999996,-6.158333333333336,4.471461152037029,2022-05-01
17,JAKARTA BARAT,6,2022,106.74999999999996,-6.158333333333336,4.836592158923613,2022-06-01
20,JAKARTA BARAT,7,2022,106.74999999999996,-6.158333333333336,5.34084418167692,2022-07-01
23,JAKARTA BARAT,8,2022,106.74999999999996,-6.158333333333336,2.63290228322157,2022-08-01
26,JAKARTA BARAT,9,2022,106.74999999999996,-6.158333333333336,5.058992020785955,2022-09-01
29,JAKARTA BARAT,10,2022,106.74999999999996,-6.158333333333336,8.69398850637187,2022-10-01
32,JAKARTA BARAT,11,2022,106.74999999999996,-6.158333333333336,5.420633082588494,2022-11-01
35,JAKARTA BARAT,12,2022,106.74999999999996,-6.158333333333336,7.583383352806088,2022-12-01
38,JAKARTA PUSAT,1,2022,106.84999999999997,-6.200000000000003,6.387758925556966,2022-01-01
41,JAKARTA PUSAT,2,2022,106.84999999999997,-6.200000000000003,6.939271874725682,2022-02-01
44,JAKARTA PUSAT,3,2022,106.84999999999997,-6.200000000000003,5.342451147734952,2022-03-01
47,JAKARTA PUSAT,4,2022,106.84999999999997,-6.200000000000003,6.224453113973061,2022-04-01
50,JAKARTA PUSAT,5,2022,106.84999999999997,-6.200000000000003,4.45075042545793,2022-05-01
53,JAKARTA PUSAT,6,2022,106.84999999999997,-6.200000000000003,4.871469624340505,2022-06-01
56,JAKARTA PUSAT,7,2022,106.84999999999997,-6.200000000000003,4.817460998893101,2022-07-01
59,JAKARTA PUSAT,8,2022,106.84999999999997,-6.200000000000003,2.546699158847389,2022-08-01
62,JAKARTA PUSAT,9,2022,106.84999999999997,-6.200000000000003,4.883859008550829,2022-09-01
