KABKOT;month;year;tb;longitude;latitude;time
JAKARTA BARAT;1;2020;715;106,75;-6,158333333;2020-01-01
JAKARTA BARAT;2;2020;803;106,75;-6,158333333;2020-02-01
JAKARTA BARAT;3;2020;689;106,75;-6,158333333;2020-03-01
JAKARTA BARAT;4;2020;359;106,75;-6,158333333;2020-04-01
JAKARTA BARAT;5;2020;276;106,75;-6,158333333;2020-05-01
JAKARTA BARAT;6;2020;353;106,75;-6,158333333;2020-06-01
JAKARTA BARAT;7;2020;335;106,75;-6,158333333;2020-07-01
JAKARTA BARAT;8;2020;260;106,75;-6,158333333;2020-08-01
JAKARTA BARAT;9;2020;284;106,75;-6,158333333;2020-09-01
JAKARTA BARAT;10;2020;241;106,75;-6,158333333;2020-10-01
JAKARTA BARAT;11;2020;249;106,75;-6,158333333;2020-11-01
JAKARTA BARAT;12;2020;227;106,75;-6,158333333;2020-12-01
JAKARTA PUSAT;1;2020;688;106,85;-6,2;2020-01-01
JAKARTA PUSAT;2;2020;681;106,85;-6,2;2020-02-01
JAKARTA PUSAT;3;2020;625;106,85;-6,2;2020-03-01
JAKARTA PUSAT;4;2020;336;106,85;-6,2;2020-04-01
JAKARTA PUSAT;5;2020;270;106,85;-6,2;2020-05-01
JAKARTA PUSAT;6;2020;344;106,85;-6,2;2020-06-01
JAKARTA PUSAT;7;2020;393;106,85;-6,2;2020-07-01
JAKARTA PUSAT;8;2020;290;106,85;-6,2;2020-08-01
JAKARTA PUSAT;9;2020;306;106,85;-6,2;2020-09-01
JAKARTA PUSAT;10;2020;306;106,85;-6,2;2020-10-01
JAKARTA PUSAT;11;2020;322;106,85;-6,2;2020-11-01
JAKARTA PUSAT;12;2020;285;106,85;-6,2;2020-12-01
JAKARTA SELATAN;1;2020;623;106,8083333;-6,283333333;2020-01-01
JAKARTA SELATAN;2;2020;582;106,8083333;-6,283333333;2020-02-01
JAKARTA SELATAN;3;2020;650;106,8083333;-6,283333333;2020-03-01
JAKARTA SELATAN;4;2020;403;106,8083333;-6,283333333;2020-04-01
JAKARTA SELATAN;5;2020;283;106,8083333;-6,283333333;2020-05-01
JAKARTA SELATAN;6;2020;446;106,8083333;-6,283333333;2020-06-01
JAKARTA SELATAN;7;2020;454;106,8083333;-6,283333333;2020-07-01
JAKARTA SELATAN;8;2020;391;106,8083333;-6,283333333;2020-08-01
JAKARTA SELATAN;9;2020;362;106,8083333;-6,283333333;2020-09-01
JAKARTA SELATAN;10;2020;315;106,8083333;-6,283333333;2020-10-01
JAKARTA SELATAN;11;2020;325;106,8083333;-6,283333333;2020-11-01
JAKARTA SELATAN;12;2020;278;106,8083333;-6,283333333;2020-12-01
JAKARTA TIMUR;1;2020;885;106,91;-6,26;2020-01-01
JAKARTA TIMUR;2;2020;812;106,91;-6,26;2020-02-01
JAKARTA TIMUR;3;2020;945;106,91;-6,26;2020-03-01
JAKARTA TIMUR;4;2020;621;106,91;-6,26;2020-04-01
JAKARTA TIMUR;5;2020;447;106,91;-6,26;2020-05-01
JAKARTA TIMUR;6;2020;596;106,91;-6,26;2020-06-01
JAKARTA TIMUR;7;2020;643;106,91;-6,26;2020-07-01
JAKARTA TIMUR;8;2020;509;106,91;-6,26;2020-08-01
JAKARTA TIMUR;9;2020;544;106,91;-6,26;2020-09-01
JAKARTA TIMUR;10;2020;514;106,91;-6,26;2020-10-01
JAKARTA TIMUR;11;2020;529;106,91;-6,26;2020-11-01
JAKARTA TIMUR;12;2020;434;106,91;-6,26;2020-12-01
JAKARTA UTARA;1;2020;464;106,8916667;-6,125;2020-01-01
JAKARTA UTARA;2;2020;413;106,8916667;-6,125;2020-02-01
JAKARTA UTARA;3;2020;452;106,8916667;-6,125;2020-03-01
JAKARTA UTARA;4;2020;269;106,8916667;-6,125;2020-04-01
JAKARTA UTARA;5;2020;233;106,8916667;-6,125;2020-05-01
JAKARTA UTARA;6;2020;283;106,8916667;-6,125;2020-06-01
JAKARTA UTARA;7;2020;318;106,8916667;-6,125;2020-07-01
JAKARTA UTARA;8;2020;238;106,8916667;-6,125;2020-08-01
JAKARTA UTARA;9;2020;191;106,8916667;-6,125;2020-09-01
JAKARTA UTARA;10;2020;173;106,8916667;-6,125;2020-10-01
JAKARTA UTARA;11;2020;195;106,8916667;-6,125;2020-11-01
JAKARTA UTARA;12;2020;201;106,8916667;-6,125;2020-12-01
JAKARTA BARAT;1;2021;329;106,75;-6,158333333;2021-01-01
JAKARTA BARAT;2;2021;326;106,75;-6,158333333;2021-02-01
JAKARTA BARAT;3;2021;448;106,75;-6,158333333;2021-03-01
JAKARTA BARAT;4;2021;469;106,75;-6,158333333;2021-04-01
JAKARTA BARAT;5;2021;449;106,75;-6,158333333;2021-05-01
JAKARTA BARAT;6;2021;406;106,75;-6,158333333;2021-06-01
JAKARTA BARAT;7;2021;260;106,75;-6,158333333;2021-07-01
JAKARTA BARAT;8;2021;389;106,75;-6,158333333;2021-08-01
JAKARTA BARAT;9;2021;515;106,75;-6,158333333;2021-09-01
JAKARTA BARAT;10;2021;576;106,75;-6,158333333;2021-10-01
JAKARTA BARAT;11;2021;561;106,75;-6,158333333;2021-11-01
JAKARTA BARAT;12;2021;519;106,75;-6,158333333;2021-12-01
