,KABKOT,month,year,time,longitude,latitude,tb,pm2p5,pm10,so2
0,JAKARTA BARAT,1,2018,2018-01-01,106.74999999999996,-6.158333333333336,773,32.9903469339916,47.29495030839942,63.57745799296609
1,JAKARTA BARAT,2,2018,2018-02-01,106.74999999999996,-6.158333333333336,606,39.14552057220812,55.981318394237626,69.89625058676097
2,JAKARTA BARAT,3,2018,2018-03-01,106.74999999999996,-6.158333333333336,721,44.44306457271591,63.22595814308264,88.28705103922816
3,JAKARTA BARAT,4,2018,2018-04-01,106.74999999999996,-6.158333333333336,761,61.21402409162463,86.8873959092299,106.55995726107682
4,JAKARTA BARAT,5,2018,2018-05-01,106.74999999999996,-6.158333333333336,737,68.22975241189208,96.9865734331186,118.13367132807434
5,JAKARTA BARAT,6,2018,2018-06-01,106.74999999999996,-6.158333333333336,521,69.65852060897909,99.03380330121728,115.97892626791764
6,JAKARTA BARAT,7,2018,2018-07-01,106.74999999999996,-6.158333333333336,720,70.59047564360489,100.39019228161015,120.37928327972364
7,JAKARTA BARAT,8,2018,2018-08-01,106.74999999999996,-6.158333333333336,706,58.169737936116455,82.65744068955729,97.5393657215962
8,JAKARTA BARAT,9,2018,2018-09-01,106.74999999999996,-6.158333333333336,665,60.512664184189305,85.48013440387884,95.488475316399
9,JAKARTA BARAT,10,2018,2018-10-01,106.74999999999996,-6.158333333333336,695,60.23679925131674,85.23357251593504,87.41862501950129
10,JAKARTA BARAT,11,2018,2018-11-01,106.74999999999996,-6.158333333333336,696,58.3013135477565,82.77492165179889,91.67400779214516
11,JAKARTA BARAT,12,2018,2018-12-01,106.74999999999996,-6.158333333333336,654,41.8206946983796,59.63568610094927,76.69276132932778
60,JAKARTA BARAT,1,2019,2019-01-01,106.74999999999996,-6.158333333333336,746,39.81925331587677,56.89054900750643,73.50080510188145
61,JAKARTA BARAT,2,2019,2019-02-01,106.74999999999996,-6.158333333333336,672,46.25484828836395,65.68062006964358,75.95596656236741
62,JAKARTA BARAT,3,2019,2019-03-01,106.74999999999996,-6.158333333333336,789,45.53866398933766,64.69846928523849,92.68811420467846
