,KABKOT,month,year,time,longitude,latitude,tb,rh,tp
0,JAKARTA BARAT,1,2020,2020-01-01,106.74999999999996,-6.158333333333336,715,85.89500630696614,14.475729682792847
1,JAKARTA BARAT,2,2020,2020-02-01,106.74999999999996,-6.158333333333336,803,86.1364217122395,13.69126349687543
2,JAKARTA BARAT,3,2020,2020-03-01,106.74999999999996,-6.158333333333336,689,84.38978373209632,11.113327058653192
3,JAKARTA BARAT,4,2020,2020-04-01,106.74999999999996,-6.158333333333336,359,84.41822509765625,7.677212382356436
4,JAKARTA BARAT,5,2020,2020-05-01,106.74999999999996,-6.158333333333336,276,83.59945475260417,5.889278029402071
5,JAKARTA BARAT,6,2020,2020-06-01,106.74999999999996,-6.158333333333336,353,81.03355712890628,2.050814616183473
6,JAKARTA BARAT,7,2020,2020-07-01,106.74999999999996,-6.158333333333336,335,77.49566752115882,1.6562249821921782
7,JAKARTA BARAT,8,2020,2020-08-01,106.74999999999996,-6.158333333333336,260,74.8413350423176,1.584933598836356
8,JAKARTA BARAT,9,2020,2020-09-01,106.74999999999996,-6.158333333333336,284,74.38914794921871,1.9451159176727912
9,JAKARTA BARAT,10,2020,2020-10-01,106.74999999999996,-6.158333333333336,241,77.8150136311849,6.048352299258242
10,JAKARTA BARAT,11,2020,2020-11-01,106.74999999999996,-6.158333333333336,249,81.09503479003895,4.9232592123249255
11,JAKARTA BARAT,12,2020,2020-12-01,106.74999999999996,-6.158333333333336,227,83.04466654459645,9.082674675931528
60,JAKARTA BARAT,1,2021,2021-01-01,106.74999999999996,-6.158333333333336,329,85.86905619303394,10.499981592098708
61,JAKARTA BARAT,2,2021,2021-02-01,106.74999999999996,-6.158333333333336,326,86.57535298665346,14.319913672903626
62,JAKARTA BARAT,3,2021,2021-03-01,106.74999999999996,-6.158333333333336,448,82.87356160481762,7.617955124005662
63,JAKARTA BARAT,4,2021,2021-04-01,106.74999999999996,-6.158333333333336,469,81.50893859863292,5.2162580316265625
64,JAKARTA BARAT,5,2021,2021-05-01,106.74999999999996,-6.158333333333336,449,81.10568033854169,3.8307586498559503
65,JAKARTA BARAT,6,2021,2021-06-01,106.74999999999996,-6.158333333333336,406,83.64358520507831,4.822660274803625
66,JAKARTA BARAT,7,2021,2021-07-01,106.74999999999996,-6.158333333333336,260,78.0597920735678,1.5891003546615454
67,JAKARTA BARAT,8,2021,2021-08-01,106.74999999999996,-6.158333333333336,389,78.9230875651045,5.294272582978103
68,JAKARTA BARAT,9,2021,2021-09-01,106.74999999999996,-6.158333333333336,515,79.64974365234379,5.23896856233486
69,JAKARTA BARAT,10,2021,2021-10-01,106.74999999999996,-6.158333333333336,576,79.20348307291675,4.267153659214559
70,JAKARTA BARAT,11,2021,2021-11-01,106.74999999999996,-6.158333333333336,561,81.591488647461,7.640647565325037
71,JAKARTA BARAT,12,2021,2021-12-01,106.74999999999996,-6.158333333333336,519,83.56459350585936,7.648300888637574
120,JAKARTA BARAT,1,2022,2022-01-01,106.74999999999996,-6.158333333333336,851,83.32106628417976,6.211204094191294
121,JAKARTA BARAT,2,2022,2022-02-01,106.74999999999996,-6.158333333333336,457,83.5305501302084,6.593098811184325
122,JAKARTA BARAT,3,2022,2022-03-01,106.74999999999996,-6.158333333333336,655,82.71324259440108,4.930226250241232
123,JAKARTA BARAT,4,2022,2022-04-01,106.74999999999996,-6.158333333333336,698,82.04018046061208,5.894483961165025
124,JAKARTA BARAT,5,2022,2022-05-01,106.74999999999996,-6.158333333333336,650,83.53308308919291,4.471461152037029
125,JAKARTA BARAT,6,2022,2022-06-01,106.74999999999996,-6.158333333333336,881,83.67923278808618,4.836592158923613
126,JAKARTA BARAT,7,2022,2022-07-01,106.74999999999996,-6.158333333333336,829,81.59126892089844,5.34084418167692
127,JAKARTA BARAT,8,2022,2022-08-01,106.74999999999996,-6.158333333333336,864,80.05228881835951,2.63290228322157
128,JAKARTA BARAT,9,2022,2022-09-01,106.74999999999996,-6.158333333333336,891,80.84428202311226,5.058992020785955
129,JAKARTA BARAT,10,2022,2022-10-01,106.74999999999996,-6.158333333333336,898,82.82036234537755,8.69398850637187
130,JAKARTA BARAT,11,2022,2022-11-01,106.74999999999996,-6.158333333333336,999,82.11912638346358,5.420633082588494
131,JAKARTA BARAT,12,2022,2022-12-01,106.74999999999996,-6.158333333333336,933,83.02156982421879,7.583383352806088
12,JAKARTA PUSAT,1,2020,2020-01-01,106.84999999999997,-6.200000000000003,688,86.0410644531251,15.40950819849924
13,JAKARTA PUSAT,2,2020,2020-02-01,106.84999999999997,-6.200000000000003,681,86.44782714843727,14.579104036092373
14,JAKARTA PUSAT,3,2020,2020-03-01,106.84999999999997,-6.200000000000003,625,84.51853637695305,10.993788577616272
15,JAKARTA PUSAT,4,2020,2020-04-01,106.84999999999997,-6.200000000000003,336,84.51002807617216,7.813130728900386
16,JAKARTA PUSAT,5,2020,2020-05-01,106.84999999999997,-6.200000000000003,270,83.64716796875003,6.05992265045625
17,JAKARTA PUSAT,6,2020,2020-06-01,106.84999999999997,-6.200000000000003,344,80.90009765624986,1.930142045021072
18,JAKARTA PUSAT,7,2020,2020-07-01,106.84999999999997,-6.200000000000003,393,77.46544799804667,1.5308443456888596
19,JAKARTA PUSAT,8,2020,2020-08-01,106.84999999999997,-6.200000000000003,290,74.91954956054657,1.520049981773
20,JAKARTA PUSAT,9,2020,2020-09-01,106.84999999999997,-6.200000000000003,306,74.42985229492166,1.9501545652747367
21,JAKARTA PUSAT,10,2020,2020-10-01,106.84999999999997,-6.200000000000003,306,78.27996215820264,6.510780863463895
22,JAKARTA PUSAT,11,2020,2020-11-01,106.84999999999997,-6.200000000000003,322,81.41886596679682,5.744253322481779
23,JAKARTA PUSAT,12,2020,2020-12-01,106.84999999999997,-6.200000000000003,285,83.00504150390623,9.32534016668792
